,id,cnt,time,d0,d1,d2
0,1,1,2019-09-01 00:04:22.954077,33.0,91.0,0.0
1,2,2,2019-09-01 00:04:23.333506,37.0,93.0,0.0
2,3,3,2019-09-01 00:04:23.698114,34.0,93.0,0.0
3,4,4,2019-09-01 00:04:24.061937,36.0,90.0,0.0
4,5,5,2019-09-01 00:04:24.591895,35.0,94.0,0.0
5,6,6,2019-09-01 00:04:26.672217,32.0,94.0,0.0
6,7,7,2019-09-01 00:04:27.026495,35.0,90.0,0.0
7,8,8,2019-09-01 00:04:27.577086,35.0,88.0,0.0
8,9,9,2019-09-01 00:04:28.625919,35.0,90.0,0.0
9,10,10,2019-09-01 00:04:29.671260,36.0,93.0,0.0
10,11,11,2019-09-01 00:04:30.732617,38.0,89.0,0.0
11,12,12,2019-09-01 00:04:31.755891,37.0,87.0,0.0
12,13,13,2019-09-01 00:04:32.839276,37.0,89.0,0.0
13,14,14,2019-09-01 00:04:33.919985,37.0,90.0,0.0
14,15,15,2019-09-01 00:04:34.947739,37.0,91.0,0.0
15,16,16,2019-09-01 00:04:35.995880,38.0,89.0,0.0
16,17,17,2019-09-01 00:04:37.086925,34.0,90.0,0.0
17,18,18,2019-09-01 00:04:38.109164,36.0,89.0,0.0
18,19,19,2019-09-01 00:04:39.187225,37.0,93.0,0.0
19,20,20,2019-09-01 00:04:40.423716,40.0,89.0,0.0
20,21,21,2019-09-01 00:04:41.280900,36.0,90.0,0.0
21,22,22,2019-09-01 00:04:42.309148,39.0,93.0,0.0
22,23,23,2019-09-01 00:04:45.258707,37.0,92.0,0.0
23,24,24,2019-09-01 00:04:45.591278,36.0,92.0,0.0
24,25,25,2019-09-01 00:04:45.952462,35.0,89.0,0.0
25,26,26,2019-09-01 00:04:46.472519,36.0,91.0,0.0
26,27,27,2019-09-01 00:04:47.554060,33.0,91.0,0.0
27,28,28,2019-09-01 00:04:48.610833,34.0,91.0,0.0
28,29,29,2019-09-01 00:04:49.655722,35.0,94.0,0.0
29,30,30,2019-09-01 00:04:50.723198,34.0,89.0,0.0
30,31,31,2019-09-01 00:04:51.816824,34.0,94.0,0.0
31,32,32,2019-09-01 00:04:52.893647,32.0,95.0,0.0
32,33,33,2019-09-01 00:04:53.967513,31.0,99.0,0.0
33,34,34,2019-09-01 00:04:55.010031,33.0,90.0,0.0
34,35,35,2019-09-01 00:04:56.068776,33.0,91.0,0.0
35,36,36,2019-09-01 00:04:57.104822,33.0,92.0,0.0
36,37,37,2019-09-01 00:04:58.203925,34.0,92.0,0.0
37,38,38,2019-09-01 00:05:00.361281,33.0,91.0,0.0
38,39,39,2019-09-01 00:05:00.740480,35.0,91.0,0.0
39,40,40,2019-09-01 00:05:02.947539,34.0,94.0,0.0
40,41,41,2019-09-01 00:05:05.091332,36.0,92.0,0.0
41,42,42,2019-09-01 00:05:05.441667,35.0,91.0,0.0
42,43,43,2019-09-01 00:05:05.804783,38.0,92.0,0.0
43,44,44,2019-09-01 00:05:06.162348,29.0,92.0,0.0
44,45,45,2019-09-01 00:05:06.658038,34.0,90.0,0.0
45,46,46,2019-09-01 00:05:07.710786,33.0,91.0,0.0
46,47,47,2019-09-01 00:05:08.786661,34.0,92.0,0.0
47,48,48,2019-09-01 00:05:10.818325,37.0,92.0,0.0
48,49,49,2019-09-01 00:05:11.219756,35.0,92.0,0.0
49,50,50,2019-09-01 00:05:11.985965,35.0,92.0,0.0
50,51,51,2019-09-01 00:05:12.947583,36.0,89.0,0.0
51,52,52,2019-09-01 00:05:14.011442,32.0,93.0,0.0
52,53,53,2019-09-01 00:05:15.079581,37.0,94.0,0.0
53,54,54,2019-09-01 00:05:17.234107,35.0,96.0,0.0
54,55,55,2019-09-01 00:05:17.591659,33.0,96.0,0.0
55,56,56,2019-09-01 00:05:19.633430,36.0,98.0,0.0
56,57,57,2019-09-01 00:05:19.968757,34.0,95.0,0.0
57,58,58,2019-09-01 00:05:20.455145,35.0,95.0,0.0
58,59,59,2019-09-01 00:05:21.471422,35.0,92.0,0.0
59,60,60,2019-09-01 00:05:22.528075,36.0,89.0,0.0
60,61,61,2019-09-01 00:05:23.631627,36.0,92.0,0.0
61,62,62,2019-09-01 00:05:25.806744,34.0,91.0,0.0
62,63,63,2019-09-01 00:05:26.195382,34.0,90.0,0.0
63,64,64,2019-09-01 00:05:26.805264,34.0,92.0,0.0
64,65,65,2019-09-01 00:05:27.854121,35.0,91.0,0.0
65,66,66,2019-09-01 00:05:30.841234,34.0,90.0,0.0
66,67,67,2019-09-01 00:05:31.174712,32.0,90.0,0.0
67,68,68,2019-09-01 00:05:31.542358,35.0,90.0,0.0
68,69,69,2019-09-01 00:05:32.071794,31.0,91.0,0.0
69,70,70,2019-09-01 00:05:33.135645,35.0,89.0,0.0
70,71,71,2019-09-01 00:05:34.147778,34.0,93.0,0.0
71,72,72,2019-09-01 00:05:35.369729,31.0,91.0,0.0
72,73,73,2019-09-01 00:05:36.333482,34.0,90.0,0.0
73,74,74,2019-09-01 00:05:38.540244,34.0,89.0,0.0
74,75,75,2019-09-01 00:05:38.869444,33.0,92.0,0.0
75,76,76,2019-09-01 00:05:39.520777,37.0,93.0,0.0
76,77,77,2019-09-01 00:05:40.571499,36.0,92.0,0.0
77,78,78,2019-09-01 00:05:41.860492,34.0,91.0,0.0
78,79,79,2019-09-01 00:05:45.006314,34.0,90.0,0.0
79,80,80,2019-09-01 00:05:45.336607,36.0,92.0,0.0
80,81,81,2019-09-01 00:05:46.572480,34.0,90.0,0.0
81,82,82,2019-09-01 00:05:46.922684,37.0,90.0,0.0
82,83,83,2019-09-01 00:05:47.291426,34.0,90.0,0.0
83,84,84,2019-09-01 00:05:48.023190,35.0,87.0,0.0
84,85,85,2019-09-01 00:05:49.019364,33.0,92.0,0.0
85,86,86,2019-09-01 00:05:50.083454,34.0,92.0,0.0
86,87,87,2019-09-01 00:05:51.175700,36.0,92.0,0.0
87,88,88,2019-09-01 00:05:52.188902,38.0,89.0,0.0
88,89,89,2019-09-01 00:05:53.287607,35.0,88.0,0.0
89,90,90,2019-09-01 00:05:54.323642,39.0,92.0,0.0
90,91,91,2019-09-01 00:05:55.344813,34.0,90.0,0.0
91,92,92,2019-09-01 00:05:56.394585,35.0,89.0,0.0
92,93,93,2019-09-01 00:05:57.463711,36.0,93.0,0.0
